--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
  focus-next.module.ts                                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/directives/stop-propogation                                               |    90.9 |      100 |       0 |    87.5 |                                                                                                                                                              
  click-stop-propagation.directive.ts                                                 |      75 |      100 |       0 |   66.66 | 9                                                                                                                                                            
  stop-propagation.module.ts                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/model                                                                     |      80 |      100 |   33.33 |      80 |                                                                                                                                                              
  generic-constants.ts                                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
  shared-api.ts                                                                       |   66.66 |      100 |   33.33 |   66.66 | 23-27                                                                                                                                                        
 app/shared/model/content-strings                                                     |   61.45 |    11.11 |    3.57 |   62.36 |                                                                                                                                                              
  content-string-models.ts                                                            |      15 |        0 |       0 |   15.78 | 25-46,51-62                                                                                                                                                  
  content-string-utils.ts                                                             |      40 |        0 |       0 |   33.33 | 5-6                                                                                                                                                          
  content-strings-api.ts                                                              |   67.92 |      100 |    5.55 |   67.92 | 51-153                                                                                                                                                       
  default-strings.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/pipes                                                                     |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/pipes/address-header-format-pipe                                          |   84.61 |        0 |       0 |   77.77 |                                                                                                                                                              
  address-header-format-pipe.module.ts                                                |     100 |      100 |     100 |     100 |                                                                                                                                                              
  address-header-format-pipe.pipe.ts                                                  |   71.42 |        0 |       0 |      60 | 11-13                                                                                                                                                        
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/pipes/merchant-distance                                                   |   91.66 |        0 |       0 |    87.5 |                                                                                                                                                              
  merchant-distance.module.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-distance.pipe.ts                                                           |      80 |        0 |       0 |   66.66 | 9                                                                                                                                                            
 app/shared/pipes/message-date                                                        |   39.39 |        0 |       0 |   34.48 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  message-date.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  message-date.pipe.ts                                                                |      20 |        0 |       0 |   17.39 | 11-53                                                                                                                                                        
 app/shared/pipes/meters-to-miles-pipe                                                |    62.5 |        0 |       0 |      50 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  meters-to-miles.pipe.ts                                                             |   57.14 |        0 |       0 |      40 | 7-12                                                                                                                                                         
 app/shared/pipes/order-by-pipe                                                       |   41.66 |        0 |       0 |      30 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-by.pipe.ts                                                                    |   36.36 |        0 |       0 |   22.22 | 9-15                                                                                                                                                         
 app/shared/pipes/order-type-pipe                                                     |   58.82 |        0 |       0 |   46.15 |                                                                                                                                                              
  order-type-pipe.module.ts                                                           |     100 |      100 |     100 |     100 |                                                                                                                                                              
  order-type.pipe.ts                                                                  |   36.36 |        0 |       0 |   22.22 | 10-21                                                                                                                                                        
 app/shared/pipes/safe-html-pipe                                                      |   71.42 |      100 |       0 |   66.66 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  safe-html.pipe.ts                                                                   |   66.66 |      100 |       0 |      60 | 8-11                                                                                                                                                         
 app/shared/pipes/safe-url-pipe                                                       |   71.42 |      100 |       0 |   66.66 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  safe-url.pipe.ts                                                                    |   66.66 |      100 |       0 |      60 | 8-11                                                                                                                                                         
 app/shared/pipes/sort-by-date-pipe                                                   |   85.71 |      100 |       0 |      80 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  sort-by-date.module.ts                                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  sort-by-date.pipe.ts                                                                |   66.66 |      100 |       0 |      50 | 8-10                                                                                                                                                         
 app/shared/pipes/transaction-operation                                               |   93.75 |       25 |      50 |   91.66 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  transaction-action-pipe.module.ts                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  transaction-action.pipe.ts                                                          |   88.88 |       25 |      50 |   85.71 | 8                                                                                                                                                            
 app/shared/pipes/transaction-units                                                   |   53.84 |        0 |       0 |   47.82 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  transaction-units.module.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  transaction-units.pipe.ts                                                           |   29.41 |        0 |       0 |      25 | 10-41                                                                                                                                                        
 app/shared/pipes/truncate-pipe                                                       |    92.3 |        0 |       0 |   88.88 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  truncate-pipe.module.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  truncate.pipe.ts                                                                    |      80 |        0 |       0 |   66.66 | 8                                                                                                                                                            
 app/shared/services                                                                  |   36.03 |     6.34 |   10.38 |    37.5 |                                                                                                                                                              
  app.profile.services.ts                                                             |   94.11 |    57.14 |   83.33 |     100 | 19-20                                                                                                                                                        
  common.service.ts                                                                   |   30.64 |        0 |    4.16 |   32.14 | 34-134                                                                                                                                                       
  connection-facade.service.ts                                                        |   25.45 |        0 |       0 |   25.49 | 20-103                                                                                                                                                       
  connection-service.ts                                                               |   31.25 |        0 |       0 |   33.33 | 17-63                                                                                                                                                        
  injectable-message.proxy.ts                                                         |   71.42 |      100 |   33.33 |   66.66 | 13-17                                                                                                                                                        
  navigation.service.ts                                                               |   25.58 |        0 |       5 |    30.3 | 22-77                                                                                                                                                        
  uuid-generator.service.ts                                                           |   83.33 |      100 |       0 |      75 | 10                                                                                                                                                           
 app/shared/services/observable-session-storage                                       |   21.73 |      100 |       0 |   14.28 |                                                                                                                                                              
  observable-session-storage.service.ts                                               |   21.73 |      100 |       0 |   14.28 | 12-46                                                                                                                                                        
 app/shared/services/observable-storage                                               |      50 |      100 |       0 |   44.44 |                                                                                                                                                              
  observable-storage.service.ts                                                       |      50 |      100 |       0 |   44.44 | 17-32                                                                                                                                                        
 app/shared/services/user-preferences                                                 |    23.8 |        0 |       0 |      20 |                                                                                                                                                              
  user-preference.service.ts                                                          |    23.8 |        0 |       0 |      20 | 10-52                                                                                                                                                        
 app/shared/ui-components                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/change-password                                             |      50 |      100 |       0 |      50 |                                                                                                                                                              
  password-change-content-strings.model.ts                                            |      50 |      100 |       0 |      50 | 7-14                                                                                                                                                         
 app/shared/ui-components/control-errors                                              |   81.25 |        0 |       0 |   83.33 |                                                                                                                                                              
  control-errors.component.html                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  control-errors.component.ts                                                         |   57.14 |        0 |       0 |      60 | 18-22                                                                                                                                                        
  control-errors.module.ts                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/edit-home-page-modal                                        |   54.83 |        0 |       0 |   51.85 |                                                                                                                                                              
  edit-home-page-modal.component.html                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  edit-home-page-modal.component.ts                                                   |   33.33 |        0 |       0 |   31.57 | 17-45                                                                                                                                                        
  edit-home-page-modal.module.ts                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/merchant-main-info                                          |   81.25 |      100 |       0 |   76.92 |                                                                                                                                                              
  merchant-main-info.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  merchant-main-info.component.ts                                                     |      50 |      100 |       0 |      40 | 11-13                                                                                                                                                        
  merchant-main-info.module.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/mobile-credentials                                          |   35.29 |        0 |       0 |   33.33 |                                                                                                                                                              
  mobile-credentials.component.html                                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  mobile-credentials.component.ts                                                     |   31.25 |        0 |       0 |   28.57 | 15-40                                                                                                                                                        
 app/shared/ui-components/mobile-credentials/model/android                            |   12.66 |        0 |       0 |   12.83 |                                                                                                                                                              
  abstract-android-credential.management.ts                                           |    9.09 |        0 |       0 |    9.25 | 16-151                                                                                                                                                       
  android-credential-content-strings.model.ts                                         |   15.58 |        0 |       0 |   15.58 | 7-22,27-42,47-62,67-72,77-92,97-108,113-128,133-161,177-237                                                                                                  
  android-credential.model.ts                                                         |   12.37 |        0 |       0 |   12.63 | 48-79,88-170,181-240,259-262,267-277,282-288,293-336                                                                                                         
 app/shared/ui-components/mobile-credentials/model/android/google-pay                 |   15.66 |        0 |       0 |   15.78 |                                                                                                                                                              
  google-pay-credential-manager.ts                                                    |   15.66 |        0 |       0 |   15.78 | 18-144                                                                                                                                                       
 app/shared/ui-components/mobile-credentials/model/android/hid                        |    7.27 |     1.29 |    0.84 |    7.57 |                                                                                                                                                              
  hid-credential-manager.ts                                                           |    3.77 |        0 |       0 |    3.76 | 26-646                                                                                                                                                       
  hid-plugin.proxy.ts                                                                 |   19.79 |     9.09 |     2.7 |   21.11 | 18-48,70-87,94-212                                                                                                                                           
 app/shared/ui-components/mobile-credentials/model/ios                                |   14.28 |        0 |       0 |   14.28 |                                                                                                                                                              
  apple-wallet-credential.ts                                                          |   33.33 |      100 |       0 |   33.33 | 8-21                                                                                                                                                         
  applet-wallet-credential.state.ts                                                   |    8.33 |        0 |       0 |    8.33 | 9-102                                                                                                                                                        
  applet-wallet.state.ts                                                              |      25 |        0 |       0 |      25 | 6-57                                                                                                                                                         
 app/shared/ui-components/mobile-credentials/model/shared                             |   29.43 |    15.09 |    4.76 |   29.95 |                                                                                                                                                              
  android-credential-data.service.ts                                                  |   13.84 |        0 |       0 |   14.28 | 28-222                                                                                                                                                       
  credential-state.ts                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
  credential-utils.ts                                                                 |   83.33 |      100 |      50 |   83.33 | 18-23                                                                                                                                                        
  mobile-credential-configs.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
  mobile-credential-data.service.ts                                                   |   27.69 |        0 |       0 |   27.41 | 28-161                                                                                                                                                       
  mobile-credential-factory.ts                                                        |   36.36 |        0 |       0 |   36.36 | 13-19                                                                                                                                                        
  mobile-credential-manager.ts                                                        |    4.16 |        0 |       0 |    4.54 | 42-94                                                                                                                                                        
  mobile-credential.ts                                                                |    6.25 |      100 |       0 |    6.25 | 7-53                                                                                                                                                         
 app/shared/ui-components/mobile-credentials/service                                  |   32.55 |     2.85 |    7.84 |   32.63 |                                                                                                                                                              
  google-pay-credential.data.service.ts                                               |      50 |      100 |       0 |      50 | 28-64                                                                                                                                                        
  hid-credential.data.service.ts                                                      |   23.86 |        0 |       0 |   23.52 | 34-195                                                                                                                                                       
  ios-credential-manager.ts                                                           |   22.44 |        0 |       0 |   22.72 | 23-122                                                                                                                                                       
  mobile-credential-facade.service.ts                                                 |   35.16 |        0 |      20 |   36.04 | 41-102,109,115-134,146-156,161-188,193-207                                                                                                                   
  mobile-credential-manager.factory.ts                                                |   43.24 |       25 |   18.18 |   41.66 | 28-70                                                                                                                                                        
 app/shared/ui-components/no-connectivity-screen                                      |   16.12 |        0 |       0 |    15.7 |                                                                                                                                                              
  connectivity-screen.html                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  connectivity-screen.ts                                                              |   15.44 |        0 |       0 |      15 | 31-243                                                                                                                                                       
 app/shared/ui-components/no-connectivity-screen/model                                |   69.23 |      100 |      40 |   69.23 |                                                                                                                                                              
  connectivity-page.model.ts                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  no-connectivity.cs.model.ts                                                         |   63.63 |      100 |      25 |   63.63 | 6,28-36                                                                                                                                                      
 app/shared/ui-components/phone-email                                                 |   34.37 |    18.18 |    4.16 |   32.25 |                                                                                                                                                              
  phone-email.component.html                                                          |     100 |      100 |     100 |     100 |                                                                                                                                                              
  phone-email.component.ts                                                            |   21.25 |    18.18 |    4.16 |   20.25 | 23-185                                                                                                                                                       
  phone-email.module.ts                                                               |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/pin                                                         |   15.26 |        0 |       0 |   14.13 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  pin.module.ts                                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  pin.page.html                                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  pin.page.ts                                                                         |    9.55 |        0 |       0 |    9.19 | 24-338                                                                                                                                                       
 app/shared/ui-components/requesting-roommate-modal                                   |   23.07 |        0 |       0 |   21.62 |                                                                                                                                                              
  requesting-roommate-modal.component.html                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  requesting-roommate-modal.component.ts                                              |   21.05 |        0 |       0 |   19.44 | 16-104                                                                                                                                                       
 app/shared/ui-components/st-activate-location-item                                   |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-activate-location-item.component.html                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-activate-location-item.component.ts                                              |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-activate-location-item.module.ts                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/st-alert-banner                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-alert-banner.component.html                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-alert-banner.component.ts                                                        |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/st-button                                                   |    90.9 |        0 |      50 |   89.47 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-button.component.html                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-button.component.ts                                                              |   83.33 |        0 |      50 |   81.81 | 21-22                                                                                                                                                        
  st-button.module.ts                                                                 |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/st-conversation-item                                        |   78.94 |      100 |       0 |      75 |                                                                                                                                                              
  conversation-item.component.html                                                    |     100 |      100 |     100 |     100 |                                                                                                                                                              
  conversation-item.component.ts                                                      |   55.55 |      100 |       0 |      50 | 17-24                                                                                                                                                        
  conversation-item.module.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/shared/ui-components/st-countdown                                                |   46.66 |        0 |       0 |   42.85 |                                                                                                                                                              
  index.ts                                                                            |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-countdown.component.html                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  st-countdown.component.ts                                                           |   38.46 |        0 |       0 |   33.33 | 12-28                                                                                                                                                        
 app/shared/ui-components/st-global-navigation                                        |   55.55 |      100 |       0 |   55.55 |                                                                                                                                                              
